date,event_cultural,event_national,event_religious,event_sport
2011-02-06,0,0,0,1
2011-02-14,1,0,0,0
2011-02-21,0,1,0,0
2011-03-09,0,0,1,0
2011-03-16,0,0,1,0
2011-03-17,1,0,0,0
2011-03-20,0,0,1,0
2011-04-24,1,0,1,0
2011-04-26,0,0,1,0
2011-05-05,1,0,0,0
2011-05-08,1,0,0,0
2011-05-30,0,1,0,0
2011-05-31,0,0,0,1
2011-06-12,0,0,0,1
2011-06-19,1,0,0,0
2011-07-04,0,1,0,0
2011-08-01,0,0,1,0
2011-08-31,0,0,1,0
2011-09-05,0,1,0,0
2011-10-10,0,1,0,0
2011-10-31,1,0,0,0
2011-11-07,0,0,1,0
2011-11-11,0,1,0,0
2011-11-24,0,1,0,0
2011-12-25,0,1,0,0
2011-12-28,0,0,1,0
2012-01-01,0,1,0,0
2012-01-07,0,0,1,0
2012-01-16,0,1,0,0
2012-02-05,0,0,0,1
2012-02-14,1,0,0,0
2012-02-20,0,1,0,0
2012-02-22,0,0,1,0
2012-02-29,0,0,1,0
2012-03-08,0,0,1,0
2012-03-17,1,0,0,0
2012-04-08,1,0,0,0
2012-04-14,0,0,1,0
2012-04-15,0,0,1,0
2012-05-05,1,0,0,0
2012-05-13,1,0,0,0
2012-05-28,0,1,0,0
2012-06-12,0,0,0,1
2012-06-17,1,0,0,0
2012-06-21,0,0,0,1
2012-07-04,0,1,0,0
2012-07-20,0,0,1,0
2012-08-19,0,0,1,0
2012-09-03,0,1,0,0
2012-10-08,0,1,0,0
2012-10-26,0,0,1,0
2012-10-31,1,0,0,0
2012-11-11,0,1,0,0
2012-11-22,0,1,0,0
2012-12-16,0,0,1,0
2012-12-25,0,1,0,0
2013-01-01,0,1,0,0
2013-01-07,0,0,1,0
2013-01-21,0,1,0,0
2013-02-03,0,0,0,1
2013-02-13,0,0,1,0
2013-02-14,1,0,0,0
2013-02-18,0,1,0,0
2013-02-20,0,0,1,0
2013-02-24,0,0,1,0
2013-03-17,1,0,0,0
2013-03-31,1,0,0,0
2013-04-02,0,0,1,0
2013-05-05,1,0,1,0
2013-05-12,1,0,0,0
2013-05-27,0,1,0,0
2013-06-06,0,0,0,1
2013-06-16,1,0,0,0
2013-06-20,0,0,0,1
2013-07-04,0,1,0,0
2013-07-09,0,0,1,0
2013-08-08,0,0,1,0
2013-09-02,0,1,0,0
2013-10-14,0,1,0,0
2013-10-15,0,0,1,0
2013-10-31,1,0,0,0
2013-11-11,0,1,0,0
2013-11-28,0,1,0,0
2013-12-05,0,0,1,0
2013-12-25,0,1,0,0
2014-01-01,0,1,0,0
2014-01-07,0,0,1,0
2014-01-20,0,1,0,0
2014-02-02,0,0,0,1
2014-02-14,1,0,0,0
2014-02-17,0,1,0,0
2014-03-05,0,0,1,0
2014-03-12,0,0,1,0
2014-03-16,0,0,1,0
2014-03-17,1,0,0,0
2014-04-20,1,0,1,0
2014-04-22,0,0,1,0
2014-05-05,1,0,0,0
2014-05-11,1,0,0,0
2014-05-26,0,1,0,0
2014-06-05,0,0,0,1
2014-06-15,1,0,0,1
2014-06-29,0,0,1,0
2014-07-04,0,1,0,0
2014-07-29,0,0,1,0
2014-09-01,0,1,0,0
2014-10-04,0,0,1,0
2014-10-13,0,1,0,0
2014-10-31,1,0,0,0
2014-11-11,0,1,0,0
2014-11-27,0,1,0,0
2014-12-24,0,0,1,0
2014-12-25,0,1,0,0
2015-01-01,0,1,0,0
2015-01-07,0,0,1,0
2015-01-19,0,1,0,0
2015-02-01,0,0,0,1
2015-02-14,1,0,0,0
2015-02-16,0,1,0,0
2015-02-18,0,0,1,0
2015-02-25,0,0,1,0
2015-03-05,0,0,1,0
2015-03-17,1,0,0,0
2015-04-05,1,0,0,0
2015-04-11,0,0,1,0
2015-04-12,0,0,1,0
2015-05-05,1,0,0,0
2015-05-10,1,0,0,0
2015-05-25,0,1,0,0
2015-06-04,0,0,0,1
2015-06-16,0,0,0,1
2015-06-18,0,0,1,0
2015-06-21,1,0,0,0
2015-07-04,0,1,0,0
2015-07-18,0,0,1,0
2015-09-07,0,1,0,0
2015-09-24,0,0,1,0
2015-10-12,0,1,0,0
2015-10-31,1,0,0,0
2015-11-11,0,1,0,0
2015-11-26,0,1,0,0
2015-12-14,0,0,1,0
2015-12-25,0,1,0,0
2016-01-01,0,1,0,0
2016-01-07,0,0,1,0
2016-01-18,0,1,0,0
2016-02-07,0,0,0,1
2016-02-10,0,0,1,0
2016-02-14,1,0,0,0
2016-02-15,0,1,0,0
2016-02-17,0,0,1,0
2016-03-17,1,0,0,0
2016-03-24,0,0,1,0
2016-03-27,1,0,0,0
2016-04-30,0,0,1,0
2016-05-01,0,0,1,0
2016-05-05,1,0,0,0
2016-05-08,1,0,0,0
2016-05-30,0,1,0,0
2016-06-02,0,0,0,1
2016-06-07,0,0,1,0
2016-06-19,1,0,0,1
